id,name,a_prob,ab_prob,<=B_prob
100191,SCOTT CRAVEN,0.40126050420168063,0.11854741896758703,0.48019207683073223
100475,DIANNA MURPHY,0.9444444444444444,0.0,0.05555555555555555
101964,HEIDI BRITT KELLUM,0.9818287037037038,0.0,0.018171296296296297
101997,DANIEL JOSEPH ACHESON,0.14430736772487354,0.10125271019185049,0.754439922083276
102482,JONATHAN ANDREW FOLEY,0.6444685628742515,0.19226047904191618,0.16327095808383235
102516,HEIDI KAEPPLER,0.4123990287526771,0.1556489409555375,0.4319520302917854
102567,ANDREW ALEXANDER,0.8714177510689136,0.0678928737068272,0.06068937522425894
103005,DALE FRANCIS MURRAY,0.21568627450980393,0.37254901960784315,0.411764705882353
103165,MARY GOMEZ,0.9010531583774035,0.06134662888005741,0.03760021274253981
103387,JEFFREY ANDERS,0.8389497896967563,0.06864763164283662,0.09240257866040698
104059,BRIAN THOMAS COVEY,0.061068702290076333,0.21374045801526717,0.7251908396946565
105156,CAROL LEE,0.7402017444033392,0.050462015884524515,0.20933623971213636
105216,ERIN SILVA,0.6031679129363879,0.16518697293925005,0.23164511412436223
105309,SARAH CALHOUN,0.23566502463054184,0.3814778325123154,0.38285714285714284
105416,ANDREW IRVING,0.5421343400963328,0.2547494465886541,0.20311621331501303
105475,THOMAS LOESER,0.944183478330241,0.03473265915774797,0.02108386251201095
105628,TANYA MORIN,0.28566428156130674,0.21706058751825333,0.4972751309204398
105659,PETER MORAN,0.12622309197651663,0.14677103718199608,0.7270058708414873
105672,DAVID MESHOULAM,0.4918032786885246,0.2459016393442623,0.26229508196721313
105893,CAITLIN ELIZABETH MEAGHER,0.27095671320766135,0.2920840116611031,0.4369592751312356
106073,WILLIAM SETHARES,0.5695589686779698,0.20693339440693,0.2235076369151002
106122,RAFAEL LAZIMY,0.47979215721046914,0.33569343833994086,0.18451440444958966
106129,MICHAEL MAGUIRE,0.7575218569577704,0.1582163427453847,0.08426180029684507
106552,RICHARD A. KNOWLES,0.4482314022456721,0.23968478598478057,0.31208381176954764
106560,RONALD KALIL,0.7672662125843839,0.12427723537637331,0.10845655203924259
106606,JAN GREENBERG,0.7680609907227784,0.13343599221097874,0.09850301706624268
106643,MICHAEL EDMONDS,0.787571051418977,0.20342778714083723,0.00900116144018583
107763,BARRY LEVENSON,0.35348860000758725,0.0216998191681736,0.6248115808242392
107977,TIMOTHY MARK BAGSHAW,0.21844614209536872,0.2609495788349294,0.520604279069702
108578,JAMES KRUEGER,0.5095038180556014,0.361315092299192,0.12918108964520653
